BDID	EGID	TAXID	SYMBOL	DESCRIPTION	HOMOLOGENE
1419460_at	67053	10090	Rpp14	ribonuclease P 14 subunit	5113
1451271_a_at	110446	10090	Acat1	acetyl-Coenzyme A acetyltransferase 1	6
1448245_at	16785	10090	Rpsa	ribosomal protein SA	68249
1418805_at	20287	10090	Sct	secretin	134323
1450021_at	54609	10090	Ubqln2	ubiquilin 2	81830
1451209_at	71949	10090	Cers5	ceramide synthase 5	23634
1452252_at	70683	10090	Utp20	UTP20 small subunit processome component	38373
1427232_at	110796	10090	Tshz1	teashirt zinc finger family member 1	4227
1434967_at	67263	10090	Zswim6	zinc finger SWIM-type containing 6	83517
1416267_at	56367	10090	Scoc	short coiled-coil protein	134118
1423110_at	12843	10090	Col1a2	collagen, type I, alpha 2	69
1433887_at	100037258	10090	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	2486
1429501_s_at	19042	10090	Ppm1a	protein phosphatase 1A, magnesium dependent, alpha isoform	56428
1452823_at	76263	10090	Gstk1	glutathione S-transferase kappa 1	41075
1459800_s_at	26407	10090	Map3k4	mitogen-activated protein kinase kinase kinase 4	31346
1419354_at	93691	10090	Klf7	Kruppel-like factor 7 (ubiquitous)	2751
1460247_a_at	27401	10090	Skp2	S-phase kinase-associated protein 2 (p45)	55942
1455792_x_at	17984	10090	Ndn	necdin	20559
1451573_a_at	20909	10090	Stx4a	syntaxin 4A (placental)	105435
1457021_x_at	110542	10090	Amhr2	anti-Mullerian hormone type 2 receptor	10746
1433625_at	227723	10090	Prrc2b	proline-rich coiled-coil 2B	106649
1418979_at	105387	10090	Akr1c14	aldo-keto reductase family 1, member C14	138093
1444038_at	385493	10090	AU015836	expressed sequence AU015836	-
1436101_at	51902	10090	Rnf24	ring finger protein 24	5223
1435148_at	11932	10090	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	36075
1415940_at	100494	10090	Zfand2a	zinc finger, AN1-type domain 2A	64373
1418100_at	80515	10090	Chd3os	chromodomain helicase DNA binding protein 3, opposite strand	-
1425461_at	103583	10090	Fbxw11	F-box and WD-40 domain protein 11	76444
1420932_at	26419	10090	Mapk8	mitogen-activated protein kinase 8	56760
1426622_a_at	70536	10090	Qpct	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	8238
1450750_a_at	18227	10090	Nr4a2	nuclear receptor subfamily 4, group A, member 2	4509
1439438_a_at	66118	10090	Sarnp	SAP domain containing ribonucleoprotein	41628
1433974_at	109079	10090	Sephs1	selenophosphate synthetase 1	56558
1416771_at	27096	10090	Trappc3	trafficking protein particle complex 3	6399
1437853_x_at	17984	10090	Ndn	necdin	20559
1451313_a_at	216551	10090	Lgalsl	lectin, galactoside binding-like	8581
1417873_at	103136	10090	Pwp1	PWP1 homolog, endonuclein	5129
1448196_at	108645	10090	Mat2b	methionine adenosyltransferase II, beta	8323
1417377_at	54725	10090	Cadm1	cell adhesion molecule 1	8641
1415820_x_at	53610	10090	Nono	non-POU-domain-containing, octamer binding protein	7212
1456086_x_at	54633	10090	Pqbp1	polyglutamine binding protein 1	4172
1417410_s_at	18759	10090	Prkci	protein kinase C, iota	37667
1417460_at	80876	10090	Ifitm2	interferon induced transmembrane protein 2	74574
1421602_at	20415	10090	Shbg	sex hormone binding globulin	813
1438559_x_at	68682	10090	Slc44a2	solute carrier family 44, member 2	10711
1426386_at	66229	10090	Rpl7l1	ribosomal protein L7-like 1	41632
1419914_s_at	52014	10090	Nus1	NUS1 dehydrodolichyl diphosphate synthase subunit	12719
1424670_s_at	68520	10090	Zfyve21	zinc finger, FYVE domain containing 21	11448
1422470_at	12176	10090	Bnip3	BCL2/adenovirus E1B interacting protein 3	2990
1424071_s_at	218333	10090	Ice1	interactor of little elongation complex ELL subunit 1	18902
1437234_x_at	15468	10090	Prmt2	protein arginine N-methyltransferase 2	55587
1423646_at	69035	10090	Zdhhc3	zinc finger, DHHC domain containing 3	9582
1423829_at	223601	10090	Fam49b	family with sequence similarity 49, member B	9599
1449576_at	66235	10090	Eif1ax	eukaryotic translation initiation factor 1A, X-linked	100715
1434881_s_at	100628599	10090	Mir5130	microRNA 5130	-
1434881_s_at	239217	10090	Kctd12	potassium channel tetramerisation domain containing 12	16316
1445322_x_at	-	-	-	-	-
1433542_at	101490	10090	Inpp5f	inositol polyphosphate-5-phosphatase F	8962
1420879_a_at	54401	10090	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	20724
1424483_at	232157	10090	Mob1a	MOB kinase activator 1A	10076
1428107_at	56726	10090	Sh3bgrl	SH3-binding domain glutamic acid-rich protein like	2275
1455481_at	15931	10090	Ids	iduronate 2-sulfatase	169
1428473_at	19056	10090	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	56429
1435363_at	213783	10090	Plekhg1	pleckstrin homology domain containing, family G (with RhoGef domain) member 1	18897
1439207_at	385377	10090	Pnma5	paraneoplastic antigen family 5	14176
1418540_a_at	19267	10090	Ptpre	protein tyrosine phosphatase, receptor type, E	31387
1433995_s_at	67501	10090	Ccdc50	coiled-coil domain containing 50	69406
1448206_at	19166	10090	Psma2	proteasome (prosome, macropain) subunit, alpha type 2	2081
1425023_at	235441	10090	Usp3	ubiquitin specific peptidase 3	4766
1425493_at	12166	10090	Bmpr1a	bone morphogenetic protein receptor, type 1A	20911
1423474_at	21969	10090	Top1	topoisomerase (DNA) I	2467
1455110_at	213054	10090	Gabpb2	GA repeat binding protein, beta 2	34921
1433754_at	105559	10090	Mbnl2	muscleblind like splicing factor 2	76766
1451063_at	20913	10090	Stxbp4	syntaxin binding protein 4	7963
1431037_a_at	15568	10090	Elavl1	ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R)	20367
1430543_at	76686	10090	Clip3	CAP-GLY domain containing linker protein 3	9176
1453095_at	19325	10090	Rab10	RAB10, member RAS oncogene family	41111
1438167_x_at	216805	10090	Flcn	folliculin	14583
1437982_x_at	226139	10090	Cox15	cytochrome c oxidase assembly protein 15	5848
1416857_at	20316	10090	Sdf2	stromal cell derived factor 2	5045
1423795_at	71514	10090	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	3714
1429027_at	100616095	10090	Snhg18	small nucleolar RNA host gene 18	-
1421385_a_at	17921	10090	Myo7a	myosin VIIA	219
1420568_at	20899	10090	Stra8	stimulated by retinoic acid gene 8	49197
1416167_at	53381	10090	Prdx4	peroxiredoxin 4	4672
1419662_at	18295	10090	Ogn	osteoglycin	8542
1435632_at	68564	10090	Nufip2	nuclear fragile X mental retardation protein interacting protein 2	10808
1434784_s_at	380967	10090	Tmem106c	transmembrane protein 106C	11440
1433956_at	12562	10090	Cdh5	cadherin 5	1359
1454882_at	237339	10090	L3mbtl3	l(3)mbt-like 3 (Drosophila)	18226
1450658_at	23794	10090	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	5109
1420956_at	11789	10090	Apc	adenomatosis polyposis coli	30950
1415773_at	17975	10090	Ncl	nucleolin	136488
1450699_at	20341	10090	Selenbp1	selenium binding protein 1	2930
1425913_a_at	67198	10090	Spats2l	spermatogenesis associated, serine-rich 2-like	56711
1451346_at	66902	10090	Mtap	methylthioadenosine phosphorylase	1838
1416928_at	75710	10090	Rbm12	RNA binding motif protein 12	34993
1452771_s_at	74205	10090	Acsl3	acyl-CoA synthetase long-chain family member 3	3278
1418746_at	56695	10090	Pnkd	paroxysmal nonkinesiogenic dyskinesia	75045
1416448_at	16434	10090	Itpa	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	6289
1417774_at	94181	10090	Nans	N-acetylneuraminic acid synthase (sialic acid synthase)	10343
1433855_at	268860	10090	Abat	4-aminobutyrate aminotransferase	542
1433698_a_at	27366	10090	Txnl4a	thioredoxin-like 4A	7150
1426449_a_at	18744	10090	Pja1	praja ring finger ubiquitin ligase 1	129620
1449505_at	16646	10090	Kpna1	karyopherin (importin) alpha 1	55642
1451119_a_at	14114	10090	Fbln1	fibulin 1	21295
1422743_at	18679	10090	Phka1	phosphorylase kinase alpha 1	1981
1428186_at	71393	10090	Kctd6	potassium channel tetramerisation domain containing 6	12392
1417399_at	14456	10090	Gas6	growth arrest specific 6	638
1452160_at	99929	10090	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	9167
1428623_at	18844	10090	Plxna1	plexin A1	56426
1435841_s_at	20917	10090	Suclg2	succinate-Coenzyme A ligase, GDP-forming, beta subunit	2854
1448592_at	56693	10090	Crtap	cartilage associated protein	21280
1450690_at	19386	10090	Ranbp2	RAN binding protein 2	87808
1418893_at	18515	10090	Pbx2	pre B cell leukemia homeobox 2	48115
1455929_x_at	51792	10090	Ppp2r1a	protein phosphatase 2, regulatory subunit A, alpha	68559
1436851_at	19216	10090	Ptger1	prostaglandin E receptor 1 (subtype EP1)	738
1436851_at	320795	10090	Pkn1	protein kinase N1	48130
1427418_a_at	15251	10090	Hif1a	hypoxia inducible factor 1, alpha subunit	1171
1437932_a_at	12737	10090	Cldn1	claudin 1	9620
1416941_s_at	22384	10090	Eif4h	eukaryotic translation initiation factor 4H	32536
1416498_at	19038	10090	Ppic	peptidylprolyl isomerase C	727
1434148_at	21413	10090	Tcf4	transcription factor 4	2407
1438666_at	241576	10090	Ldlrad3	low density lipoprotein receptor class A domain containing 3	18377
1433868_at	228662	10090	Btbd3	BTB (POZ) domain containing 3	8980
1447852_x_at	75695	10090	Rilpl1	Rab interacting lysosomal protein-like 1	15619
1433508_at	23849	10090	Klf6	Kruppel-like factor 6	996
1416558_at	17279	10090	Melk	maternal embryonic leucine zipper kinase	32111
1419499_at	14732	10090	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	7343
1419493_a_at	21985	10090	Tpd52	tumor protein D52	38007
1426482_at	72981	10090	Thap12	THAP domain containing 12	37952
1452514_a_at	16590	10090	Kit	KIT proto-oncogene receptor tyrosine kinase	187
1454809_at	211329	10090	Ncoa7	nuclear receptor coactivator 7	65245
1441959_s_at	104771	10090	Jkamp	JNK1/MAPK8-associated membrane protein	9524
1416907_at	22099	10090	Tsn	translin	3397
1451035_a_at	58810	10090	Akr1a1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	74565
1416239_at	432466	10090	Gm5424	argininosuccinate synthase pseudogene	-
1416239_at	11898	10090	Ass1	argininosuccinate synthetase 1	6899
1422428_at	94180	10090	Acsbg1	acyl-CoA synthetase bubblegum family member 1	9044
1448777_at	17216	10090	Mcm2	minichromosome maintenance complex component 2	3325
1428246_at	69091	10090	Vps26b	VPS26 retromer complex component B	3601
1426614_at	228880	10090	Zmynd8	zinc finger, MYND-type containing 8	32679
1437525_a_at	218832	10090	Polr3a	polymerase (RNA) III (DNA directed) polypeptide A	5124
1459679_s_at	17912	10090	Myo1b	myosin IB	7856
1440279_at	67988	10090	Tmx3	thioredoxin-related transmembrane protein 3	10381
1450740_a_at	13589	10090	Mapre1	microtubule-associated protein, RP/EB family, member 1	56129
1429264_at	68128	10090	Fam120aos	family with sequence similarity 120A, opposite strand	-
1433501_at	229445	10090	Ctso	cathepsin O	1020
1450012_x_at	22628	10090	Ywhag	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	22725
1429085_at	22344	10090	Vezf1	vascular endothelial zinc finger 1	5175
1455035_s_at	67134	10090	Nop56	NOP56 ribonucleoprotein	4660
1418733_at	22160	10090	Twist1	twist basic helix-loop-helix transcription factor 1	402
1438999_a_at	54446	10090	Nfat5	nuclear factor of activated T cells 5	4811
1415874_at	24063	10090	Spry1	sprouty homolog 1 (Drosophila)	4266
1442006_at	-	-	-	-	-
1434521_at	319758	10090	Rfx7	regulatory factor X, 7	11275
1437380_x_at	110208	10090	Pgd	phosphogluconate dehydrogenase	68268
1434189_at	20842	10090	Stag1	stromal antigen 1	21191
1455496_at	237823	10090	Pfas	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	5970
1416345_at	30058	10090	Timm8a1	translocase of inner mitochondrial membrane 8A1	37878
1418086_at	68458	10090	Ppp1r14a	protein phosphatase 1, regulatory (inhibitor) subunit 14A	12267
1417086_at	18472	10090	Pafah1b1	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1	371
1436796_at	100503380	10090	Snhg4	small nucleolar RNA host gene 4	-
1437533_at	11798	10090	Xiap	X-linked inhibitor of apoptosis	901
1427965_at	381760	10090	Ssbp1	single-stranded DNA binding protein 1	74462
1444107_at	238317	10090	Elmsan1	ELM2 and Myb/SANT-like domain containing 1	19330
1432164_a_at	68133	10090	Gcsh	glycine cleavage system protein H (aminomethyl carrier)	90880
1456212_x_at	12702	10090	Socs3	suppressor of cytokine signaling 3	2941
1417296_at	11908	10090	Atf1	activating transcription factor 1	3790
1417296_at	100040260	10090	Atf1-ps	activating transcription factor 1, pseudogene	3790
1449628_s_at	99138	10090	Stard7	START domain containing 7	32463
1415855_at	17311	10090	Kitl	kit ligand	692
1437099_x_at	98758	10090	Hnrnpf	heterogeneous nuclear ribonucleoprotein F	21032
1416524_at	20747	10090	Spop	speckle-type POZ protein	68354
1437749_s_at	78523	10090	Mrpl9	mitochondrial ribosomal protein L9	12696
1426939_at	69499	10090	Tsr2	TSR2 20S rRNA accumulation	43235
1433688_x_at	67115	10090	Rpl14	ribosomal protein L14	68375
1433688_x_at	100040970	10090	Rpl14-ps1	ribosomal protein L14, pseudogene 1	-
1434650_at	229584	10090	Pogz	pogo transposable element with ZNF domain	9022
1416630_at	15903	10090	Id3	inhibitor of DNA binding 3	1633
1428410_at	72117	10090	Naa50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	11851
1448590_at	12833	10090	Col6a1	collagen, type VI, alpha 1	1391
1423902_s_at	69632	10090	Arhgef12	Rho guanine nucleotide exchange factor (GEF) 12	9088
1456743_x_at	56397	10090	Morf4l2	mortality factor 4 like 2	22710
1426069_s_at	224022	10090	Slc7a4	solute carrier family 7 (cationic amino acid transporter, y+ system), member 4	20883
1434367_s_at	68051	10090	Nutf2	nuclear transport factor 2	110745
1434367_s_at	100043462	10090	Nutf2-ps1	nuclear transport factor 2, pseudogene 1	-
1434367_s_at	668830	10090	Gm9386	predicted pseudogene 9386	-
1434367_s_at	621832	10090	Nutf2-ps2	nuclear transport factor 2, pseudogene 2	110745
1448736_a_at	15452	10090	Hprt	hypoxanthine guanine phosphoribosyl transferase	56590
1419816_s_at	74155	10090	Errfi1	ERBB receptor feedback inhibitor 1	10344
1424053_a_at	66855	10090	Tcf25	transcription factor 25 (basic helix-loop-helix)	5701
1426625_at	78834	10090	Zfp623	zinc finger protein 623	15994
1417133_at	18858	10090	Pmp22	peripheral myelin protein 22	7482
1426382_at	19043	10090	Ppm1b	protein phosphatase 1B, magnesium dependent, beta isoform	2027
1421972_s_at	15161	10090	Hcfc1	host cell factor C1	3898
1428380_at	381629	10090	Atraid	all-trans retinoic acid induced differentiation factor	15412
1452067_at	67111	10090	Naaa	N-acylethanolamine acid amidase	8686
1422768_at	56403	10090	Syncrip	synaptotagmin binding, cytoplasmic RNA interacting protein	4648
1436584_at	24064	10090	Spry2	sprouty homolog 2 (Drosophila)	4267
1415870_at	12321	10090	Calu	calumenin	936
1434910_at	382252	10090	Bclaf3	Bclaf1 and Thrap3 family member 3	28098
1453304_s_at	17069	10090	Ly6e	lymphocyte antigen 6 complex, locus E	56411
1433649_at	218214	10090	Kdm1b	lysine (K)-specific demethylase 1B	14695
1424358_at	218793	10090	Ube2e2	ubiquitin-conjugating enzyme E2E 2	77337
1423278_at	19272	10090	Ptprk	protein tyrosine phosphatase, receptor type, K	55693
1452664_a_at	67623	10090	Tm7sf3	transmembrane 7 superfamily member 3	9560
1437390_x_at	20907	10090	Stx1a	syntaxin 1A (brain)	37941
1437213_at	68219	10090	Nudt21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	5090
1416978_at	14132	10090	Fcgrt	Fc receptor, IgG, alpha chain transporter	3030
1439332_at	73284	10090	Ddit4l	DNA-damage-inducible transcript 4-like	12698
1428156_at	14702	10090	Gng2	guanine nucleotide binding protein (G protein), gamma 2	40715
1451591_a_at	13641	10090	Efnb1	ephrin B1	3263
1421904_at	116940	10090	Tgs1	trimethylguanosine synthase 1	32608
1458802_at	16656	10090	Hivep3	human immunodeficiency virus type I enhancer binding protein 3	7803
1415689_s_at	72739	10090	Zkscan3	zinc finger with KRAB and SCAN domains 3	130732
1418011_a_at	54673	10090	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)	9337
1418436_at	53331	10090	Stx7	syntaxin 7	37823
1434116_at	12416	10090	Cbx2	chromobox 2	7256
1431362_a_at	64074	10090	Smoc2	SPARC related modular calcium binding 2	11150
1423543_at	20947	10090	Swap70	SWA-70 protein	7557
1429192_at	20481	10090	Ski	ski sarcoma viral oncogene homolog (avian)	31124
1425248_a_at	22174	10090	Tyro3	TYRO3 protein tyrosine kinase 3	4585
1448253_at	14661	10090	Glud1	glutamate dehydrogenase 1	55885
1449196_a_at	78294	10090	Rps27a	ribosomal protein S27A	37715
1449196_a_at	667035	10090	Gm8430	predicted pseudogene 8430	138653
1418792_at	20404	10090	Sh3gl2	SH3-domain GRB2-like 2	20652
1426895_at	59057	10090	Zfp24	zinc finger protein 24	5068
1415719_s_at	74252	10090	Armc1	armadillo repeat containing 1	10015
1449079_s_at	54613	10090	St3gal6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	4448
1448936_at	100226	10090	Stx12	syntaxin 12	128192
1426947_x_at	12834	10090	Col6a2	collagen, type VI, alpha 2	1392
1416174_at	26450	10090	Rbbp9	retinoblastoma binding protein 9, serine hydrolase	4816
1438610_a_at	12972	10090	Cryz	crystallin, zeta	133907
1450542_s_at	17139	10090	Magea3	melanoma antigen, family A, 3	23188
1450542_s_at	17142	10090	Magea6	melanoma antigen, family A, 6	23188
1450542_s_at	17144	10090	Magea8	melanoma antigen, family A, 8	23188
1450542_s_at	17141	10090	Magea5	melanoma antigen, family A, 5	23188
1450542_s_at	17138	10090	Magea2	melanoma antigen, family A, 2	23188
1450542_s_at	17137	10090	Magea1	melanoma antigen, family A, 1	23188
1450890_a_at	11308	10090	Abi1	abl-interactor 1	38053
1434972_x_at	102641923	-	-	-	-
1434972_x_at	110809	10090	Srsf1	serine/arginine-rich splicing factor 1	31411
1428314_at	76302	10090	Pcnp	PEST proteolytic signal containing nuclear protein	10676
1449531_at	14789	10090	P3h3	prolyl 3-hydroxylase 3	8401
1424252_at	50926	10090	Hnrnpdl	heterogeneous nuclear ribonucleoprotein D-like	75314
1424802_a_at	67684	10090	Luc7l3	LUC7-like 3 (S. cerevisiae)	75056
1428299_at	13548	10090	Dyrk1a	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	55576
1433979_at	56516	10090	Rbms2	RNA binding motif, single stranded interacting protein 2	37706
1424040_at	245877	10090	Map7d1	MAP7 domain containing 1	17009
1435074_at	71900	10090	Tmem106b	transmembrane protein 106B	56806
1427670_a_at	21406	10090	Tcf12	transcription factor 12	40774
1418170_a_at	142682	10090	Zcchc14	zinc finger, CCHC domain containing 14	9037
1417831_at	24061	10090	Smc1a	structural maintenance of chromosomes 1A	4597
1419212_at	50723	10090	Icosl	icos ligand	49412
1455166_at	75869	10090	Arl5b	ADP-ribosylation factor-like 5B	101695
1437673_at	22418	10090	Wnt5a	wingless-type MMTV integration site family, member 5A	20720
1453775_at	78757	10090	Rictor	RPTOR independent companion of MTOR, complex 2	34317
1460733_at	106840	10090	Unc119b	unc-119 lipid binding chaperone B	43997
1419062_at	13823	10090	Epb41l3	erythrocyte membrane protein band 4.1 like 3	49308
1436443_a_at	72050	10090	Kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1	11367
1418859_at	170767	10090	Rfxap	regulatory factor X-associated protein	452
1418258_s_at	68097	10090	Dynll2	dynein light chain LC8-type 2	115597
1423506_a_at	18111	10090	Nnat	neuronatin	36176
1423958_a_at	67515	10090	Ttc33	tetratricopeptide repeat domain 33	8226
1428819_at	13589	10090	Mapre1	microtubule-associated protein, RP/EB family, member 1	56129
1428231_at	432508	10090	Cpsf6	cleavage and polyadenylation specific factor 6	134126
1425148_a_at	72183	10090	Snx6	sorting nexin 6	12304
1434109_at	212531	10090	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2	12876
1428982_at	320817	10090	Atad2b	ATPase family, AAA domain containing 2B	86351
1455403_at	242362	10090	Manea	mannosidase, endo-alpha	11636
1455970_at	242202	10090	Pde5a	phosphodiesterase 5A, cGMP-specific	842
1434235_at	20516	10090	Slc20a2	solute carrier family 20, member 2	68531
1451277_at	225791	10090	Zadh2	zinc binding alcohol dehydrogenase, domain containing 2	38387
1427739_a_at	22059	10090	Trp53	transformation related protein 53	460
1416698_a_at	54124	10090	Cks1b	CDC28 protein kinase 1b	123798
1425577_at	219105	10090	Zmym5	zinc finger, MYM-type 5	16997
1421164_a_at	16801	10090	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1	3454
1424873_at	19821	10090	Rnf2	ring finger protein 2	2199
1449815_a_at	66970	10090	Ssbp2	single-stranded DNA binding protein 2	22724
1423131_at	59050	10090	Nsa2	NSA2 ribosome biogenesis homolog	5844
1430538_at	70123	10090	Nbdy	negative regulator of P-body association	-
1422638_s_at	54354	10090	Rassf5	Ras association (RalGDS/AF-6) domain family member 5	10296
1437902_s_at	71660	10090	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	2167
1460708_s_at	12540	10090	Cdc42	cell division cycle 42	137230
1428130_at	70361	10090	Lman1	lectin, mannose-binding, 1	4070
1416318_at	66222	10090	Serpinb1a	serine (or cysteine) peptidase inhibitor, clade B, member 1a	133768
1438451_at	330914	10090	Arhgap32	Rho GTPase activating protein 32	8812
1424588_at	259302	10090	Srgap3	SLIT-ROBO Rho GTPase activating protein 3	56686
1415766_at	20333	10090	Sec22b	SEC22 homolog B, vesicle trafficking protein	3597
1448108_at	56442	10090	Serinc1	serine incorporator 1	41334
1423057_at	12343	10090	Capza2	capping protein (actin filament) muscle Z-line, alpha 2	55956
1427883_a_at	12825	10090	Col3a1	collagen, type III, alpha 1	55433
1446051_at	666842	10090	Gm14692	predicted gene 14692	19673
1446051_at	382217	10090	Gm1140	predicted gene 1140	19673
1438507_x_at	100040970	10090	Rpl14-ps1	ribosomal protein L14, pseudogene 1	-
1438507_x_at	67115	10090	Rpl14	ribosomal protein L14	68375
1416023_at	14077	10090	Fabp3	fatty acid binding protein 3, muscle and heart	68379
1448894_at	14187	10090	Akr1b8	aldo-keto reductase family 1, member B8	116462
1416795_at	68631	10090	Cryl1	crystallin, lambda 1	9322
1421992_a_at	16010	10090	Igfbp4	insulin-like growth factor binding protein 4	1192
1455024_at	228012	10090	Tlk1	tousled-like kinase 1	130657
1436523_s_at	69126	10090	1810022K09Rik	RIKEN cDNA 1810022K09 gene	47794
1435292_at	210789	10090	Tbc1d4	TBC1 domain family, member 4	45451
1421916_at	18595	10090	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	31361
1456756_at	209032	10090	Zc3hav1l	zinc finger CCCH-type, antiviral 1-like	15425
1427442_a_at	11820	10090	App	amyloid beta (A4) precursor protein	56379
1423161_s_at	114715	10090	Spred1	sprouty protein with EVH-1 domain 1, related sequence	24919
1415899_at	16477	10090	Junb	jun B proto-oncogene	7390
1434179_at	231051	10090	Kmt2c	lysine (K)-specific methyltransferase 2C	46480
1434447_at	17295	10090	Met	met proto-oncogene	206
1420357_s_at	574437	10090	Xlr3b	X-linked lymphocyte-regulated 3B	40784
1420357_s_at	22446	10090	Xlr3c	X-linked lymphocyte-regulated 3C	40784
1420357_s_at	22445	10090	Xlr3a	X-linked lymphocyte-regulated 3A	40784
1434027_at	53902	10090	Rcan3	regulator of calcineurin 3	8388
1438554_x_at	22384	10090	Eif4h	eukaryotic translation initiation factor 4H	32536
1456597_at	234549	10090	Heatr3	HEAT repeat containing 3	45429
1436808_x_at	17218	10090	Mcm5	minichromosome maintenance complex component 5	4904
1450431_a_at	17999	10090	Nedd4	neural precursor cell expressed, developmentally down-regulated 4	134533
1434383_at	224938	10090	Pja2	praja ring finger ubiquitin ligase 2	32233
1421267_a_at	17684	10090	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	4433
1434468_at	73945	10090	Otud4	OTU domain containing 4	35370
1423584_at	29817	10090	Igfbp7	insulin-like growth factor binding protein 7	1193
1434648_a_at	216527	10090	Ccm2	cerebral cavernous malformation 2	12868
1423772_x_at	11740	10090	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	55557
1451236_at	232441	10090	Rerg	RAS-like, estrogen-regulated, growth-inhibitor	50026
1437761_at	192196	10090	Luc7l2	LUC7-like 2 (S. cerevisiae)	56737
1447849_s_at	102641248	-	-	-	-
1447849_s_at	17132	10090	Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	74552
1418237_s_at	12822	10090	Col18a1	collagen, type XVIII, alpha 1	7673
1448356_at	56550	10090	Ube2d2a	ubiquitin-conjugating enzyme E2D 2A	2506
1456055_x_at	18971	10090	Pold1	polymerase (DNA directed), delta 1, catalytic subunit	2014
1418926_at	21417	10090	Zeb1	zinc finger E-box binding homeobox 1	31779
1452870_at	11783	10090	Apaf1	apoptotic peptidase activating factor 1	7626
1453035_at	69605	10090	Lnpk	lunapark, ER junction formation factor	12319
1437689_x_at	12759	10090	Clu	clusterin	1382
1434078_at	28018	10090	Ubfd1	ubiquitin family domain containing 1	10430
1451090_a_at	26905	10090	Eif2s3x	eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	90888
1423653_at	11928	10090	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	564
1416546_a_at	19988	10090	Rpl6	ribosomal protein L6	31001
1460631_at	108155	10090	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	9675
1422764_at	13589	10090	Mapre1	microtubule-associated protein, RP/EB family, member 1	56129
1455128_x_at	233833	10090	Tnrc6a	trinucleotide repeat containing 6a	41399
1460656_a_at	106489	10090	Sft2d1	SFT2 domain containing 1	34525
1434181_at	218952	10090	Fermt2	fermitin family member 2	4976
1454812_at	77519	10090	Zfp266	zinc finger protein 266	105676
1422439_a_at	12567	10090	Cdk4	cyclin-dependent kinase 4	55429
1420486_at	70078	10090	Nol7	nucleolar protein 7	49451
1438236_at	18027	10090	Nfia	nuclear factor I/A	4086
1419355_at	93691	10090	Klf7	Kruppel-like factor 7 (ubiquitous)	2751
1426475_at	15288	10090	Hmbs	hydroxymethylbilane synthase	158
1428492_at	384009	10090	Glipr2	GLI pathogenesis-related 2	74720
1450839_at	27528	10090	Nrep	neuronal regeneration related protein	70874
1448172_at	17449	10090	Mdh1	malate dehydrogenase 1, NAD (soluble)	4324
1417073_a_at	19317	10090	Qk	quaking	11059
1415726_at	81702	10090	Ankrd17	ankyrin repeat domain 17	82403
1448578_at	18472	10090	Pafah1b1	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1	371
1438961_s_at	104184	10090	Blmh	bleomycin hydrolase	330
1449942_a_at	16202	10090	Ilk	integrin linked kinase	3318
1438946_at	18595	10090	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	31361
1416646_at	11576	10090	Afp	alpha fetoprotein	36278
1433442_at	242521	10090	Klhl9	kelch-like 9	23125
1435020_at	69554	10090	Klhdc2	kelch domain containing 2	8631
1436200_at	74365	10090	Lonrf3	LON peptidase N-terminal domain and ring finger 3	11712
1424707_at	68581	10090	Tmed10	transmembrane p24 trafficking protein 10	4972
1422506_a_at	13014	10090	Cstb	cystatin B	79
